2025-12-10 13:14:58 [GPU-PF] Error: 6.72 m | StdDev: 4.58 m | Neff: 1940 | ResRaw[Mean:-0.0 Std:4.0] | Meas[N:10000 Mean:-110.6 Std:1.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 7.22 m | StdDev: 4.61 m | Neff: 1784 | ResRaw[Mean:-0.0 Std:4.0] | Meas[N:10000 Mean:-110.5 Std:1.1] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 7.87 m | StdDev: 4.62 m | Neff: 1570 | ResRaw[Mean:0.0 Std:3.9] | Meas[N:10000 Mean:-110.9 Std:0.9] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 8.61 m | StdDev: 4.60 m | Neff: 1282 | ResRaw[Mean:-0.0 Std:4.1] | Meas[N:10000 Mean:-110.2 Std:1.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 9.03 m | StdDev: 4.55 m | Neff: 1086 | ResRaw[Mean:0.0 Std:3.7] | Meas[N:10000 Mean:-110.6 Std:0.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 9.66 m | StdDev: 4.46 m | Neff: 873 | ResRaw[Mean:0.0 Std:3.9] | Meas[N:10000 Mean:-110.7 Std:1.1] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 10.10 m | StdDev: 4.41 m | Neff: 1992 | ResRaw[Mean:0.0 Std:3.2] | Meas[N:10000 Mean:-110.6 Std:0.3] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 10.21 m | StdDev: 4.32 m | Neff: 1941 | ResRaw[Mean:-0.0 Std:3.6] | Meas[N:10000 Mean:-110.3 Std:0.9] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 10.61 m | StdDev: 4.23 m | Neff: 1870 | ResRaw[Mean:0.0 Std:3.5] | Meas[N:10000 Mean:-111.1 Std:0.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.00 m | StdDev: 4.16 m | Neff: 1800 | ResRaw[Mean:0.0 Std:3.4] | Meas[N:10000 Mean:-110.1 Std:0.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.14 m | StdDev: 4.12 m | Neff: 1768 | ResRaw[Mean:0.0 Std:3.2] | Meas[N:10000 Mean:-110.4 Std:0.2] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.11 m | StdDev: 4.09 m | Neff: 1738 | ResRaw[Mean:0.0 Std:3.1] | Meas[N:10000 Mean:-110.4 Std:0.2] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.23 m | StdDev: 4.08 m | Neff: 1710 | ResRaw[Mean:-0.0 Std:3.0] | Meas[N:10000 Mean:-110.4 Std:0.3] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.18 m | StdDev: 4.04 m | Neff: 1677 | ResRaw[Mean:0.0 Std:3.0] | Meas[N:10000 Mean:-110.3 Std:0.3] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.25 m | StdDev: 4.01 m | Neff: 1636 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.2 Std:0.5] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.41 m | StdDev: 3.98 m | Neff: 1596 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.4 Std:0.5] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.65 m | StdDev: 3.93 m | Neff: 1541 | ResRaw[Mean:0.0 Std:3.0] | Meas[N:10000 Mean:-110.5 Std:0.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 11.85 m | StdDev: 3.85 m | Neff: 1469 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.4 Std:0.7] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 12.03 m | StdDev: 3.74 m | Neff: 1378 | ResRaw[Mean:0.0 Std:3.1] | Meas[N:10000 Mean:-110.5 Std:1.1] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 12.18 m | StdDev: 3.64 m | Neff: 1309 | ResRaw[Mean:0.0 Std:2.9] | Meas[N:10000 Mean:-110.5 Std:1.4] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 12.53 m | StdDev: 3.44 m | Neff: 1186 | ResRaw[Mean:0.0 Std:3.9] | Meas[N:10000 Mean:-111.1 Std:2.0] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 12.88 m | StdDev: 3.25 m | Neff: 1067 | ResRaw[Mean:-0.0 Std:4.0] | Meas[N:10000 Mean:-110.6 Std:1.9] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 13.35 m | StdDev: 3.05 m | Neff: 954 | ResRaw[Mean:-0.0 Std:4.5] | Meas[N:10000 Mean:-110.5 Std:2.4] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 13.39 m | StdDev: 2.89 m | Neff: 1983 | ResRaw[Mean:-0.0 Std:4.8] | Meas[N:10000 Mean:-111.2 Std:2.7] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 13.58 m | StdDev: 2.73 m | Neff: 1936 | ResRaw[Mean:0.0 Std:5.0] | Meas[N:10000 Mean:-110.9 Std:2.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 13.86 m | StdDev: 2.61 m | Neff: 1869 | ResRaw[Mean:-0.0 Std:5.1] | Meas[N:10000 Mean:-111.0 Std:2.8] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.09 m | StdDev: 2.51 m | Neff: 1794 | ResRaw[Mean:0.0 Std:5.1] | Meas[N:10000 Mean:-110.4 Std:2.8] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.37 m | StdDev: 2.41 m | Neff: 1704 | ResRaw[Mean:0.0 Std:5.3] | Meas[N:10000 Mean:-110.5 Std:2.9] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.31 m | StdDev: 2.35 m | Neff: 1623 | ResRaw[Mean:0.0 Std:5.6] | Meas[N:10000 Mean:-110.5 Std:3.1] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.42 m | StdDev: 2.29 m | Neff: 1530 | ResRaw[Mean:-0.0 Std:5.5] | Meas[N:10000 Mean:-111.0 Std:2.9] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.55 m | StdDev: 2.25 m | Neff: 1421 | ResRaw[Mean:-0.0 Std:5.9] | Meas[N:10000 Mean:-111.1 Std:3.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.71 m | StdDev: 2.20 m | Neff: 1304 | ResRaw[Mean:-0.0 Std:6.3] | Meas[N:10000 Mean:-110.5 Std:3.5] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 14.94 m | StdDev: 2.14 m | Neff: 1189 | ResRaw[Mean:-0.0 Std:5.5] | Meas[N:10000 Mean:-110.7 Std:2.6] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 15.24 m | StdDev: 2.08 m | Neff: 1056 | ResRaw[Mean:0.0 Std:5.3] | Meas[N:10000 Mean:-110.5 Std:2.3] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 15.21 m | StdDev: 2.00 m | Neff: 922 | ResRaw[Mean:0.0 Std:6.0] | Meas[N:10000 Mean:-110.7 Std:2.9] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 15.38 m | StdDev: 1.91 m | Neff: 1965 | ResRaw[Mean:0.0 Std:5.4] | Meas[N:10000 Mean:-110.6 Std:2.2] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:03 [GPU-PF] Error: 15.69 m | StdDev: 1.85 m | Neff: 1870 | ResRaw[Mean:0.0 Std:5.3] | Meas[N:10000 Mean:-110.0 Std:2.0] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 15.95 m | StdDev: 1.80 m | Neff: 1746 | ResRaw[Mean:0.0 Std:4.9] | Meas[N:10000 Mean:-110.6 Std:1.6] | Diff[Mean:0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.15 m | StdDev: 1.76 m | Neff: 1625 | ResRaw[Mean:-0.0 Std:4.5] | Meas[N:10000 Mean:-110.1 Std:1.1] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.38 m | StdDev: 1.75 m | Neff: 1507 | ResRaw[Mean:-0.0 Std:4.3] | Meas[N:10000 Mean:-110.4 Std:0.9] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.40 m | StdDev: 1.74 m | Neff: 1363 | ResRaw[Mean:-0.0 Std:4.5] | Meas[N:10000 Mean:-110.1 Std:1.1] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.46 m | StdDev: 1.73 m | Neff: 1277 | ResRaw[Mean:-0.0 Std:4.0] | Meas[N:10000 Mean:-110.5 Std:0.6] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.54 m | StdDev: 1.73 m | Neff: 1208 | ResRaw[Mean:-0.0 Std:3.8] | Meas[N:10000 Mean:-110.7 Std:0.3] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.44 m | StdDev: 1.73 m | Neff: 1145 | ResRaw[Mean:-0.0 Std:3.7] | Meas[N:10000 Mean:-110.8 Std:0.2] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.68 m | StdDev: 1.73 m | Neff: 1090 | ResRaw[Mean:-0.0 Std:3.6] | Meas[N:10000 Mean:-110.9 Std:0.3] | Diff[Mean:-0.0 Std:0.0]
2025-12-10 13:15:08 [GPU-PF] Error: 16.70 m | StdDev: 1.72 m | Neff: 1033 | ResRaw[Mean:-0.0 Std:3.4] | Meas[N:10000 Mean:-110.9 Std:0.5] | Diff[Mean:-0.0 Std:0.0]
